Category|LocalAuthority|Time|Season|Light|Tip1|Tip2|Tip3|Tip4
Foot|Moira|Night|Summer|Red|Moira is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Monash|Night|Summer|Red|Monash is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Murrindindi|Night|Summer|Green|Murrindindi is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|South Gippsland|Night|Summer|Red|South Gippsland is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Strathbogie|Night|Summer|Amber|Strathbogie is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Towong|Night|Summer|Red|Towong is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Wangaratta|Night|Summer|Red|Wangaratta is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Wellington|Night|Summer|Green|Wellington is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Whitehorse|Night|Summer|Red|Whitehorse is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Wodonga|Night|Summer|Amber|Wodonga is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Yarra Ranges|Night|Summer|Amber|Yarra Ranges is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Bayside|Night|Summer|Amber|Bayside is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Cardinia|Night|Summer|Green|Cardinia is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Casey|Night|Summer|Amber|Casey is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Frankston|Night|Summer|Amber|Frankston is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Glen Eira|Night|Summer|Red|Glen Eira is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Greater Dandenong|Night|Summer|Red|Greater Dandenong is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Kingston|Night|Summer|Amber|Kingston is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Mornington Peninsula|Night|Summer|Green|Mornington Peninsula is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Port Phillip|Night|Summer|Green|Port Phillip is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Stonnington|Night|Summer|Green|Stonnington is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Ararat|Night|Summer|Amber|Ararat is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Ballarat|Night|Summer|Red|Ballarat is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Buloke|Night|Summer|Red|Buloke is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Campaspe|Night|Summer|Green|Campaspe is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Central Goldfields|Night|Summer|Amber|Central Goldfields is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Colac-Otway|Night|Summer|Green|Colac-Otway is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Corangamite|Night|Summer|Green|Corangamite is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Gannawarra|Night|Summer|Amber|Gannawarra is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Glenelg|Night|Summer|Amber|Glenelg is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Golden Plains|Night|Summer|Green|Golden Plains is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Greater Bendigo|Night|Summer|Green|Greater Bendigo is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Greater Geelong|Night|Summer|Amber|Greater Geelong is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Hepburn|Night|Summer|Green|Hepburn is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Hindmarsh|Night|Summer|Green|Hindmarsh is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Horsham|Night|Summer|Green|Horsham is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Loddon|Night|Summer|Amber|Loddon is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Macedon Ranges|Night|Summer|Green|Macedon Ranges is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Mildura|Night|Summer|Amber|Mildura is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Moorabool|Night|Summer|Green|Moorabool is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Mount Alexander|Night|Summer|Amber|Mount Alexander is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Moyne|Night|Summer|Amber|Moyne is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Northern Grampians|Night|Summer|Amber|Northern Grampians is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Pyrenees|Night|Summer|Amber|Pyrenees is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Queenscliffe|Night|Summer|Amber|Queenscliffe is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Southern Grampians|Night|Summer|Green|Southern Grampians is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Surf Coast|Night|Summer|Amber|Surf Coast is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Swan Hill|Night|Summer|Amber|Swan Hill is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Warrnambool|Night|Summer|Green|Warrnambool is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|West Wimmera|Night|Summer|Green|West Wimmera is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Yarriambiack|Night|Summer|Red|Yarriambiack is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Banyule|Morning|Summer|Green|Banyule is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Brimbank|Morning|Summer|Red|Brimbank is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Darebin|Morning|Summer|Amber|Darebin is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Hobsons Bay|Morning|Summer|Green|Hobsons Bay is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Hume|Morning|Summer|Green|Hume is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Maribyrnong|Morning|Summer|Amber|Maribyrnong is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Melbourne|Morning|Summer|Amber|Melbourne is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Melton|Morning|Summer|Green|Melton is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Moonee Valley|Morning|Summer|Red|Moonee Valley is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Moreland|Morning|Summer|Red|Moreland is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Nillumbik|Morning|Summer|Green|Nillumbik is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Whittlesea|Morning|Summer|Amber|Whittlesea is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Wyndham|Morning|Summer|Amber|Wyndham is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Yarra|Morning|Summer|Amber|Yarra is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Alpine|Morning|Summer|Red|Alpine is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Bass Coast|Morning|Summer|Green|Bass Coast is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Baw Baw|Morning|Summer|Amber|Baw Baw is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Benalla|Morning|Summer|Amber|Benalla is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Boroondara|Morning|Summer|Red|Boroondara is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|East Gippsland|Morning|Summer|Amber|East Gippsland is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Greater Shepparton|Morning|Summer|Amber|Greater Shepparton is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Indigo|Morning|Summer|Green|Indigo is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Knox|Morning|Summer|Green|Knox is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Latrobe|Morning|Summer|Amber|Latrobe is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Manningham|Morning|Summer|Green|Manningham is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Mansfield|Morning|Summer|Amber|Mansfield is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Maroondah|Morning|Summer|Red|Maroondah is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Mitchell|Morning|Summer|Amber|Mitchell is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Moira|Morning|Summer|Green|Moira is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Monash|Morning|Summer|Green|Monash is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Murrindindi|Morning|Summer|Amber|Murrindindi is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|South Gippsland|Morning|Summer|Amber|South Gippsland is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Strathbogie|Morning|Summer|Amber|Strathbogie is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Towong|Morning|Summer|Green|Towong is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Wangaratta|Morning|Summer|Green|Wangaratta is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Wellington|Morning|Summer|Green|Wellington is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Whitehorse|Morning|Summer|Amber|Whitehorse is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Wodonga|Morning|Summer|Red|Wodonga is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Yarra Ranges|Morning|Summer|Green|Yarra Ranges is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Bayside|Morning|Summer|Green|Bayside is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Cardinia|Morning|Summer|Amber|Cardinia is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Casey|Morning|Summer|Green|Casey is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Frankston|Morning|Summer|Red|Frankston is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Glen Eira|Morning|Summer|Red|Glen Eira is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Greater Dandenong|Morning|Summer|Amber|Greater Dandenong is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Kingston|Morning|Summer|Red|Kingston is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Mornington Peninsula|Morning|Summer|Red|Mornington Peninsula is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Port Phillip|Morning|Summer|Green|Port Phillip is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Stonnington|Morning|Summer|Amber|Stonnington is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Ararat|Morning|Summer|Amber|Ararat is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Ballarat|Morning|Summer|Amber|Ballarat is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Buloke|Morning|Summer|Amber|Buloke is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Campaspe|Morning|Summer|Green|Campaspe is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Central Goldfields|Morning|Summer|Green|Central Goldfields is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Colac-Otway|Morning|Summer|Amber|Colac-Otway is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Corangamite|Morning|Summer|Amber|Corangamite is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Gannawarra|Morning|Summer|Green|Gannawarra is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Glenelg|Morning|Summer|Amber|Glenelg is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Golden Plains|Morning|Summer|Green|Golden Plains is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Greater Bendigo|Morning|Summer|Amber|Greater Bendigo is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Greater Geelong|Morning|Summer|Green|Greater Geelong is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Hepburn|Morning|Summer|Green|Hepburn is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Hindmarsh|Morning|Summer|Red|Hindmarsh is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Horsham|Morning|Summer|Green|Horsham is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Loddon|Morning|Summer|Green|Loddon is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Macedon Ranges|Morning|Summer|Amber|Macedon Ranges is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Mildura|Morning|Summer|Red|Mildura is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Moorabool|Morning|Summer|Red|Moorabool is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Mount Alexander|Morning|Summer|Amber|Mount Alexander is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
